transformation_code,transformation_name_stakeholder,sector,subsector,Sector (output),Subsector (output),Example government policies
TX:AGRC:DEC_CH4_RICE,Improve rice management,AFOLU,AGRC,AFOLU,Agriculture,
TX:AGRC:DEC_EXPORTS,Decrease Exports,AFOLU,AGRC,AFOLU,Agriculture,
TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,Reduce supply chain losses,AFOLU,AGRC,AFOLU,Agriculture,
TX:AGRC:INC_CONSERVATION_AGRICULTURE,Expand conservation agriculture,AFOLU,AGRC,AFOLU,Agriculture,
TX:AGRC:INC_PRODUCTIVITY,Improve crop productivity,AFOLU,AGRC,AFOLU,Agriculture,
TX:CCSQ:INC_CAPTURE,Increase direct air capture,Energy,CCSQ,Energy,CCS,
TX:ENTC:DEC_LOSSES,Reduce transmission losses,Energy,ENTC,Energy,Power,
TX:ENTC:TARGET_CLEAN_HYDROGEN,Clean hydrogen,Energy,ENTC,Energy,Power,
TX:ENTC:TARGET_RENEWABLE_ELEC,95% of electricity is generated by renewables in 2050,Energy,ENTC,Energy,Power,
TX:FGTV:DEC_LEAKS,Minimize leaks,Energy,FGTV,Energy,Fugitive Emissions,
TX:FGTV:INC_FLARE,Maximize flaring,Energy,FGTV,Energy,Fugitive Emissions,
TX:INEN:INC_EFFICIENCY_ENERGY,Maximize industrial energy efficiency,Energy,INEN,Energy,Industrial Combustion,
TX:INEN:INC_EFFICIENCY_PRODUCTION,Maximize industrial production efficiency,Energy,INEN,Energy,Industrial Combustion,
TX:INEN:SHIFT_FUEL_HEAT,Fuel switch high- and low-temp thermal processes. ,Energy,INEN,Energy,Industrial Combustion,
TX:IPPU:DEC_CLINKER,Reduce cement clinker,IPPU,IPPU,IPPU,Cement,
TX:IPPU:DEC_DEMAND,Demand management,IPPU,IPPU,IPPU,Industrial production,
TX:IPPU:DEC_HFCS,Reduce use of HFCs,IPPU,IPPU,IPPU,F-gasses,
TX:IPPU:DEC_N2O,Reduce Nitrous Oxide emissions,IPPU,IPPU,IPPU,Chemicals and electronics,
